per,cluster,perform_std,perform_quart,f1_std,f2_std,f3_std
296,8,-0.347168058,2,0.263726741,1.929499865,-0.667216122
297,8,0.587400556,3,-0.371643543,1.193570137,-1.273581743
298,8,-1.181461334,1,-1.200231552,0.49794516,-0.483710051
299,8,1.011566877,4,-0.845669687,1.630001187,-0.33781749
300,8,-0.347168058,2,1.084563017,0.4380005,-1.283327699
301,8,-0.485731214,2,-0.99938488,0.294833571,0.066054486
302,8,-1.590586543,1,-0.330852062,0.048331633,-1.036374331
303,8,0.334706098,3,-1.45429492,0.497287482,0.426123023
304,8,-0.288826466,2,-0.673416317,0.376367241,-0.366986126
305,8,0.244458526,3,-0.353731334,1.034939528,0.211629406
306,8,-0.357195735,2,-2.200143814,0.921088576,0.364005238
307,8,-0.331741333,2,0.256149113,-0.449332446,-1.285161257
308,8,-0.593559742,1,-0.537792206,0.00354488,0.083400331
309,8,1.211402178,4,-0.892323852,1.672863364,0.223298401
310,8,0.605450571,3,-2.414752483,1.247138143,-0.461138755
311,8,-0.459477246,2,-0.957354605,1.076099157,0.390073389
312,8,0.765891194,4,0.708420515,-0.711843967,1.207570672
313,8,-0.157555774,2,1.259775758,0.382464141,-0.843239367
314,8,0.289581895,3,0.516494036,0.066108324,1.193752527
315,8,-0.567774892,1,0.468829125,0.506930411,-0.042878103
316,8,0.896249592,4,-0.039665412,1.422416091,0.213540614
317,8,-0.954551816,1,-0.603225768,1.054150343,-1.413375854
318,8,0.134154677,3,-0.227768183,0.762774587,1.046234369
319,8,-0.129426405,2,0.515765786,0.192310438,-0.153011888
320,8,-0.954551816,1,-1.116314292,1.533708811,-0.970202267
321,8,-0.567774892,1,-0.144812167,1.33059299,-1.80545938
322,8,0.67446363,3,0.549652278,0.484485269,-1.07752192
323,8,-0.351178795,2,-0.861574829,0.040127642,0.15662767
324,8,0.009813265,2,0.347714126,1.045675516,-0.566956937
325,8,0.597245753,3,1.215038061,-0.079846479,-0.815509796
326,8,-0.342154622,2,-0.245494708,0.354087174,-1.498477578
327,8,-0.31507957,2,-0.399091929,0.617883921,-0.77069205
328,8,0.597245753,3,0.10040243,0.199882597,1.128075838
329,8,0.861153901,4,-1.489557743,1.432608604,0.713451624
330,8,0.966442645,4,0.295015454,0.342062026,0.29149884
331,8,-0.342154622,2,-1.512176871,0.806287944,-0.023303824
332,8,-0.495576471,2,-0.5884251,0.195446357,-0.402611613
333,8,-1.181461334,1,-0.262698025,0.604295611,-1.490597486
334,8,-0.026285939,2,-0.029479127,0.500286639,1.261208296
335,8,0.104983896,3,-0.462711483,0.932694852,-2.074013233
336,8,1.005120397,4,-0.916245639,0.836401999,-0.549095333
337,8,0.901979923,4,0.579738796,0.141358852,0.384411782
338,8,0.374816895,3,-1.031839132,1.527504325,-0.603177071
339,8,0.630063236,3,0.485562652,0.856231391,0.331778467
340,8,0.301888645,3,-1.283248305,0.286887139,-0.112024069
341,8,-0.567774892,1,0.499034673,1.687801242,-1.986394763
342,8,1.327435493,4,0.388074696,0.925026298,-0.587532222
343,8,0.109085865,3,-0.624570251,-0.1784724,-0.716362715
344,8,0.179994985,3,-0.602124691,0.465964824,-0.173221305
345,8,-0.627940238,1,0.070036091,-0.104421914,-1.446948767
346,8,-0.086451277,2,0.859690249,0.208840489,-0.534816325
347,8,1.453783154,4,-0.48418963,1.058683276,-0.405311972
348,8,1.450500607,4,0.88184005,0.042304613,1.449932694
349,8,-0.242881164,2,-2.045204639,0.47076413,0.566894889
350,8,0.301888645,3,-1.516371846,1.148624539,0.942044675
351,8,0.695699036,3,-0.211990148,1.797914743,-1.385795593
352,8,0.304623872,3,-0.295861155,0.255007178,-0.519832611
353,8,-0.284137517,2,-0.235935688,0.196038082,-1.084038258
354,8,0.470078766,3,0.489553273,1.180225611,-1.402788401
355,8,-0.902981997,1,0.555500925,0.384899884,0.518033385
356,8,-0.977993131,1,1.055649638,0.587242484,-0.164895371
357,8,0.744925201,4,0.347187608,0.897021532,-0.413214505
358,9,-1.624966979,1,-0.051108077,-1.10786736,0.672222376
359,9,0.06396164,3,-0.856359839,0.025074543,0.988784194
360,9,0.862310648,4,-0.84405911,-0.482659757,1.773420215
361,9,0.02528386,2,-0.573907554,0.506639063,1.43112874
362,9,0.695699036,3,-0.851732433,0.533299983,1.393283963
363,9,-1.470255852,1,-0.480380774,-1.498168707,0.343002468
364,9,0.695699036,3,-1.06872642,0.739419937,1.838697433
365,9,0.463632315,3,-1.994832516,0.803725064,2.161968231
366,9,-1.139346004,1,-0.634447932,0.375430882,-0.575426638
367,9,0.455036789,3,-1.160069942,0.520789981,1.182117462
368,9,-0.086451277,2,-0.913334787,0.113550887,-1.411618471
369,9,0.06396164,3,-0.383322746,-0.245807976,-0.279706508
370,9,1.469253778,4,-1.126189947,0.492936581,1.596918821
371,9,0.406904519,3,-0.129079416,0.281036675,0.043467086
372,9,0.17677176,3,-0.643543303,0.114026897,0.830078065
373,9,1.838841319,4,-0.538594007,0.11293602,2.948494196
374,9,1.273286343,4,-0.469279289,0.693648338,0.916795731
375,9,0.437846571,3,-1.274739742,0.352563679,1.402501225
376,9,0.695699036,3,-1.172358871,0.725779116,1.255589128
377,9,1.159831524,4,-0.109496303,0.364661038,1.971519232
378,9,-1.390035152,1,-0.50020647,0.294078976,-1.061035633
379,9,1.314542651,4,-0.645480096,0.113459997,2.316715956
380,9,0.051069621,3,-0.686881006,0.497652948,0.648151696
381,9,1.056691051,4,-0.526334822,0.483579814,1.477671742
382,9,-0.026285939,2,-0.136897102,0.238664448,1.823350668
383,9,1.345484734,4,-1.90283823,0.064578965,-0.005724644
384,9,0.803996623,4,-0.783245027,0.416999459,0.760282338
385,9,-0.026285939,2,-0.88108772,0.092762247,1.39912653
386,9,1.377573133,4,-0.395117611,0.733594656,-0.214547232
387,9,-0.438848644,2,-0.880754828,0.015394854,-0.244381875
388,9,1.417683125,4,-0.390522301,0.583314538,1.074384451
389,9,0.124126986,3,-0.252299011,0.038941599,0.642516375
390,9,0.470078766,3,-0.614311278,-0.274196029,1.719174981
391,9,1.040282369,4,-0.103059866,0.764777422,2.092808008
392,9,-0.342154622,2,-1.299749017,0.110212028,1.753784299
393,9,0.11811088,3,-0.192039028,0.365241408,1.043245435
394,9,1.011566877,4,-1.071346521,0.012429371,2.63921237
395,9,0.859786332,4,-0.45372048,-0.047376886,1.136302471
396,9,-0.507609546,2,-1.116436124,0.008423005,0.003077398
397,9,-1.064139605,1,-0.802806735,-0.649763405,1.295005322
398,9,0.334706098,3,-0.338009059,0.127848953,0.209181204
399,9,0.134154677,3,-0.798219144,1.332859039,0.945748806
400,9,0.009813265,2,-0.726877809,-0.081538051,-0.809826672
401,9,-0.026285939,2,-0.715250552,0.48593986,-0.379042596
402,9,-0.603874087,1,-1.337357759,-0.638487279,1.687440515
403,9,-0.251906186,2,-1.399055123,0.980615556,-1.211056828
404,9,0.479102939,3,-1.354501128,0.554187119,0.041274704
405,9,1.623964906,4,-1.25440979,0.157293081,2.348031282
406,9,0.029251562,2,-0.424176872,-0.158995643,-0.158218578
407,9,-0.256008148,2,-2.468926668,0.690652311,0.773126125
408,9,0.785946608,4,-1.772968888,0.935451269,1.75558424
409,9,0.98449266,4,-0.926119208,0.31659162,1.966388464
410,9,0.294596165,3,-0.583769083,0.354709655,0.844542623
411,9,0.174265489,3,-1.805867076,0.101423912,1.270170927
412,9,-0.621924102,1,-1.61430192,0.159140393,1.610035539
413,9,0.045912471,3,-1.132979035,0.148562312,0.049214937
414,9,-1.470255852,1,-0.050571151,-0.593208432,0.527536094
415,10,1.598179102,4,0.035795625,0.724590719,1.559378862
416,10,0.289581895,3,1.237718582,0.203111425,0.496350676
417,10,0.437846571,3,1.188084602,-0.357114047,0.631597579
418,10,-0.146616623,2,0.264846891,-0.949605465,-0.282771677
419,10,0.334706098,3,-0.554386914,-0.174081698,-0.388435304
420,10,-1.019015312,1,0.077935234,-0.401279628,-0.418774366
421,10,0.0037963,2,0.634429038,-1.449815631,0.014391646
422,10,-2.165165663,1,0.880003273,-0.802425623,0.919250607
423,10,1.345484734,4,0.339036137,-0.015658941,1.367668748
424,10,0.11811088,3,-0.652193725,-0.178618595,1.462236166
425,10,-1.139346004,1,-0.442281514,0.167924583,1.095484972
426,10,1.177021742,4,1.832140207,-1.061477184,1.287612081
427,10,-0.146616623,2,0.135830939,-0.017675383,-0.39369601
428,10,0.615478277,3,0.432545811,-0.575950921,1.366900802
429,10,-0.342154622,2,0.946242809,-0.417168707,0.606283844
430,10,-0.259869128,2,0.670292974,-1.231053114,-0.006953555
